model,seed,best_epoch,epochs_run,parameters,seconds,validation_RMSE,selected
LSTM_weather,42,25,30,16673,8.367218017578125,1002.3800289011383,False
LSTM_weather,7,20,26,16673,7.147876977920532,910.2300829519799,True
LSTM_weather,123,28,30,16673,8.326905727386475,1054.4244767177688,False
LSTM_calendar,42,16,22,5921,5.612052917480469,873.6885624119607,False
LSTM_calendar,7,26,30,5921,7.4592320919036865,813.6444808163545,True
LSTM_calendar,123,18,24,5921,5.929776191711426,915.5076449372355,False
Transformer_weather,42,29,30,12833,17.75571370124817,833.925443214441,True
Transformer_weather,7,19,25,12833,14.70754098892212,903.237056666048,False
Transformer_weather,123,23,29,12833,17.022505283355713,837.8766952510537,False
