epoch,train_mse_scaled,validation_mse_scaled
1,0.036128255529493856,0.0182501133531332
2,0.021311229276614167,0.016088534146547318
3,0.016549889405685542,0.015017472207546234
4,0.01349129246946695,0.014284699223935604
5,0.011977410752670236,0.014614293351769447
6,0.010614287467416042,0.011224400252103806
7,0.009837755645529538,0.011823159642517567
8,0.009147332796428083,0.009788970462977886
9,0.008726224348988303,0.010216468945145607
10,0.008292934057725436,0.00936856959015131
11,0.00800113119038594,0.00950151402503252
12,0.0077318755968351265,0.009128467179834843
13,0.006994366089581038,0.008599857799708843
14,0.0067253950068430724,0.009080984629690647
15,0.006973470864023406,0.007528757210820913
16,0.006337393874506214,0.00796996708959341
17,0.006299426233897275,0.007898077368736267
18,0.0060035072293891266,0.008394184522330761
19,0.005677760914443811,0.007276113610714674
20,0.005585469838265957,0.008303203620016575
21,0.005520731947167039,0.007711194455623627
22,0.005166313213618874,0.007571094203740358
23,0.004979725224505707,0.007665177341550589
24,0.0050549792984565176,0.007696882355958223
25,0.004908367642582673,0.007564964704215527
