lag_hours,correlation
1,0.973216245146826
2,0.9058680019470743
3,0.8152187960886957
4,0.7168374464725714
5,0.6251171563058265
6,0.5460297548924727
7,0.4827803336774479
8,0.43598634994475566
9,0.40280360113276936
10,0.3782702387255126
11,0.3617507634496928
12,0.3534153102836337
13,0.3507318850040432
14,0.35523671376167276
15,0.3659586491986337
16,0.3836718214563209
17,0.41381769540430763
18,0.45946528878997256
19,0.5200561676321852
20,0.5919504554379188
21,0.6689377654545221
22,0.7384211613437722
23,0.7876538820763312
24,0.8027386030246418
25,0.7732669801101308
26,0.7099683852693658
27,0.6272176953433481
28,0.5382197161820719
29,0.45582620938025814
30,0.385887165209658
31,0.33143698274801475
32,0.29260017159425294
33,0.26607185434671926
34,0.24637652082068928
35,0.23263952839317553
36,0.22509932713815378
37,0.22146965328425536
38,0.22348374202420704
39,0.23045195914177655
40,0.2436499920740698
41,0.2691686071838813
42,0.31058350000844454
43,0.36766391577683183
44,0.4364664074284463
45,0.5101566714273503
46,0.5766259339620936
47,0.6241711164612352
48,0.6403183883638591
49,0.6159119960592658
50,0.5606154519626843
51,0.4872113361144156
52,0.4075611494799359
53,0.33364794389521013
54,0.27182068265838377
55,0.22560301625208937
56,0.1950425861203232
57,0.17658444938557902
58,0.16432821653507074
59,0.1569597729819233
60,0.154724914045999
61,0.15556970943370974
62,0.16153271510092276
63,0.17235359727383792
64,0.18945063607613347
65,0.2187584420544645
66,0.26372923606681253
67,0.3240721214577322
68,0.39594260594233466
69,0.4725662612156362
70,0.5418618293339229
71,0.5920072596736886
72,0.6103678871395557
73,0.587876331488591
74,0.5341400825412937
75,0.46199319248119397
76,0.3833570115846049
77,0.3102459832964493
78,0.24924167713548448
79,0.20398019484704363
80,0.1744906801024258
81,0.15707457646585038
82,0.14576203808889637
83,0.1391703222252262
84,0.13755576065847133
85,0.1389355081013819
86,0.14523611034709658
87,0.1560584001264781
88,0.17267896186919615
89,0.20103277621498725
90,0.24477695723015488
91,0.3039167634925449
92,0.37482330598509855
93,0.45081405228472143
94,0.5198457194465373
95,0.5700513736022413
96,0.5887835961841187
97,0.5670170044969839
98,0.5141812125996309
99,0.44295266174868364
100,0.3651240277430398
101,0.2926467664823722
102,0.23209081458053454
103,0.18722563841469686
104,0.1582637908682617
105,0.1416604767980299
106,0.1314370364845419
107,0.12602516356976176
108,0.1255157727673814
109,0.12787602246178417
110,0.1350975030810793
111,0.14683902884211014
112,0.16440346529169894
113,0.19370237328615933
114,0.23825831375510304
115,0.2980401434927025
116,0.36943909902785244
117,0.4458865702844967
118,0.5155130601054561
119,0.5667041144502849
120,0.5870588437064487
121,0.5676721433753853
122,0.5178736907839169
123,0.44995359892995274
124,0.37535946478515864
125,0.3059921635848393
126,0.24857363688449374
127,0.20709714951483518
128,0.18185962882701684
129,0.16929418201309354
130,0.16325120585358052
131,0.16216864437039116
132,0.16638089503436096
133,0.17406145927074987
134,0.18744967432454024
135,0.20623139488257358
136,0.23133585757889616
137,0.268217437735116
138,0.32004971566854173
139,0.38657642876258597
140,0.4644972639681986
141,0.5476406881201624
142,0.6235830867961507
143,0.6799844922661844
144,0.7035198720311742
145,0.6845602832601447
146,0.6335470429794597
147,0.5638110653905691
148,0.48752495403052326
149,0.4168313250973917
150,0.3577719312586185
151,0.31398419469448385
152,0.285888366633899
153,0.27026693859162537
154,0.2614900283969949
155,0.2584177676825627
156,0.261672510962301
157,0.26956653429968674
158,0.28444215706002013
159,0.30585490366071544
160,0.3343125257779456
161,0.37470020611951405
162,0.4297319435191235
163,0.49886417314499026
164,0.5789844202856996
165,0.6644247092424138
166,0.7423344794060245
167,0.7992937566934356
168,0.8204586848389716
