epoch,train_mse_scaled,validation_mse_scaled
1,0.036499616410034345,0.021174073219299316
2,0.018396128916816534,0.016225088387727737
3,0.012856097069167006,0.014304311946034431
4,0.010143389144074354,0.013953239656984806
5,0.008649028257967583,0.011899556964635849
6,0.0075789043943921604,0.011305924504995346
7,0.006855125299617697,0.010261552408337593
8,0.006266029354626436,0.010010858997702599
9,0.005792899260671899,0.009216053411364555
10,0.005401514078409319,0.009525823406875134
11,0.005132109773014114,0.009397958405315876
12,0.00464692643825904,0.009423530660569668
13,0.0043599200660647056,0.008914626203477383
14,0.004076443568052579,0.008345060050487518
15,0.0038339627099167935,0.008302804082632065
16,0.0034791265340484118,0.009008407592773438
17,0.0032632345616995565,0.007748489733785391
18,0.003150102957325653,0.007917873561382294
19,0.002897899110265413,0.00827646255493164
20,0.0027378011774210737,0.007389215752482414
21,0.002616007113143114,0.007695377804338932
22,0.0024718513185330365,0.00819176435470581
23,0.0023472521265178246,0.007908055558800697
24,0.0022541514456640506,0.007887809537351131
25,0.0021887104949147272,0.008405079133808613
26,0.002110923150829976,0.008326342329382896
