,count,mean,std,min,25%,50%,75%,max
제주_sunshine_hr,6132.0,0.25267449445531637,0.39399052450856414,0.0,0.0,0.0,0.5,1.0
제주_sunshine_hr_missing,6132.0,0.42906066536203524,0.49498238996244953,0.0,0.0,0.0,1.0,1.0
제주_solar_radiation_mj_m2,6132.0,0.6615525114155252,1.0021798309936782,0.0,0.0,0.02,1.07,3.7
제주_solar_radiation_mj_m2_missing,6132.0,0.42938682322243965,0.49502903184311164,0.0,0.0,0.0,1.0,1.0
hour_sin,6132.0,0.0012387074547822957,0.7071633602769671,-1.0,-0.7071067811865471,1.2246467991473532e-16,0.7071067811865476,1.0
hour_cos,6132.0,-0.00016307893020227365,0.707164426541355,-1.0,-0.7071067811865476,-6.123233995736766e-17,0.7071067811865475,1.0
day_sin,6132.0,0.001589902009428917,0.7073072227949491,-0.9749279121818236,-0.7818314824680299,0.0,0.7818314824680298,0.9749279121818236
day_cos,6132.0,-0.00835897900876444,0.7069704279416592,-0.9009688679024191,-0.900968867902419,-0.22252093395631434,0.6234898018587336,1.0
month_sin,6132.0,0.3378950023307451,0.5560481299032627,-0.8660254037844384,0.0,0.49999999999999994,0.8660254037844386,1.0
month_cos,6132.0,-0.13656101105630722,0.7470809704619317,-1.0,-0.8660254037844387,-0.49999999999999983,0.5000000000000001,1.0
is_weekend,6132.0,0.2839204174820613,0.4509354443166727,0.0,0.0,0.0,1.0,1.0
