epoch,train_mse_scaled,validation_mse_scaled
1,0.043098597890394295,0.018371913582086563
2,0.024856109314823197,0.02146674320101738
3,0.01439462907883121,0.02123343013226986
4,0.01126162978724748,0.016188979148864746
5,0.010270164112762329,0.012808073312044144
6,0.00953295921873894,0.012468068860471249
7,0.008966599838697176,0.010932517237961292
8,0.00847388117329584,0.009771502576768398
9,0.007784355789198545,0.009943433105945587
10,0.0072858856832968425,0.009766110219061375
11,0.007023274978426405,0.008280366659164429
12,0.006604970406287136,0.008734672330319881
13,0.006320737821941058,0.00949900597333908
14,0.006095605702325458,0.009535086341202259
15,0.005824238957853081,0.007840349338948727
16,0.005634981009940853,0.00846605934202671
17,0.005343318931494925,0.008891504257917404
18,0.005029892823375279,0.008031985722482204
19,0.004870852856508309,0.008156922645866871
20,0.004673559858128867,0.008345073089003563
21,0.004531901034867463,0.0069831921719014645
22,0.004479898664046423,0.007772071287035942
23,0.0042906547277512,0.006870452780276537
24,0.004112804776329618,0.006684339139610529
25,0.00409357029226192,0.00631650909781456
26,0.003964508106180643,0.005904258228838444
27,0.0038972144184686542,0.007966352626681328
28,0.003721042421994671,0.006079099141061306
29,0.003705030359930378,0.006364493630826473
30,0.0036131614025074745,0.007043253164738417
