epoch,train_mse_scaled,validation_mse_scaled
1,0.047193168720429286,0.022181008011102676
2,0.028339681407703866,0.018228719010949135
3,0.021260991827941597,0.016525646671652794
4,0.01680671878905568,0.01714339479804039
5,0.01441556172775984,0.015401078388094902
6,0.01297180418452076,0.016520876437425613
7,0.01166485749263153,0.015366391278803349
8,0.011165343090213626,0.01719984970986843
9,0.010097942993864564,0.017818761989474297
10,0.009512354575887996,0.011416202411055565
11,0.00883278898350753,0.010038972832262516
12,0.008164293616680769,0.010978441685438156
13,0.007897658859085006,0.009430360980331898
14,0.007270748468424537,0.009717650711536407
15,0.00714283632529264,0.009584431536495686
16,0.006748211345639624,0.00935862585902214
17,0.006251959952622769,0.008532409556210041
18,0.005941839539217223,0.008852075785398483
19,0.0056390709063183385,0.008845671080052853
20,0.005429654549282793,0.009247723035514355
21,0.0050615853567186255,0.007618529722094536
22,0.004783659297899729,0.007769839838147163
23,0.00455093183466273,0.0075769973918795586
24,0.004543421816229625,0.006642920896410942
25,0.00436522665487867,0.006862701382488012
26,0.004006397515808591,0.006701762322336435
27,0.0038688910226066203,0.0070135570131242275
28,0.003935934873431989,0.006433204282075167
29,0.0037789029382125335,0.006202266551554203
30,0.0036484788891023175,0.006319448817521334
