datetime,power_demand_mwh
1,67701.37550471064
2,69117.55952380953
3,61430.784946236556
4,57192.365277777775
5,57132.05913978495
6,62051.15
7,72751.51747311828
8,73323.17607526881
9,71492.35548172757
