epoch,train_mse_scaled,validation_mse_scaled
1,0.05505427320505484,0.03196975961327553
2,0.029967059247737314,0.031696222722530365
3,0.025515138635749744,0.029010608792304993
4,0.019194995591657257,0.01950106769800186
5,0.013162506503963596,0.01360437273979187
6,0.011110306664393787,0.011837227270007133
7,0.010245045008456192,0.010068579576909542
8,0.009790997994306163,0.009133508428931236
9,0.009082808745408963,0.009365126490592957
10,0.008654799349557245,0.008676901459693909
11,0.008249466892663626,0.007918856106698513
12,0.007960417906838496,0.00836283341050148
13,0.007569367414280606,0.008310938253998756
14,0.007302520798486319,0.008138318546116352
15,0.007115974316047779,0.00806425604969263
16,0.006821965063192052,0.006807839032262564
17,0.006542956266862041,0.007578196004033089
18,0.0062886628779120985,0.007715469691902399
19,0.006126234509763213,0.009422480128705502
20,0.005951188512624638,0.008472269400954247
21,0.0059457337785665905,0.008405407890677452
22,0.005616989774725838,0.00836638081818819
