epoch,train_mse_scaled,validation_mse_scaled
1,0.05277811118402197,0.021009420976042747
2,0.023053617644188992,0.0191266480833292
3,0.014876171347600381,0.01688794046640396
4,0.011219665516697275,0.014748845249414444
5,0.009208831925752628,0.014622579328715801
6,0.008114160795421013,0.015591884031891823
7,0.007059931618447544,0.013869989663362503
8,0.006517389667547932,0.013700252398848534
9,0.005887569450683643,0.01477103866636753
10,0.005498542554966847,0.013378960080444813
11,0.005039461815489435,0.011962322518229485
12,0.00461426046012139,0.012504943646490574
13,0.004311115710283114,0.012124346569180489
14,0.003986822798623708,0.011413993313908577
15,0.003732450113991018,0.011614498682320118
16,0.0034936883753030204,0.011326114647090435
17,0.003325395837435944,0.01126512698829174
18,0.003097108085581834,0.010892229154706001
19,0.0028810401719439223,0.010988248512148857
20,0.00275737466000889,0.01071319729089737
21,0.002607416568937533,0.01025915052741766
22,0.0024142755243070934,0.010848394595086575
23,0.002313156155399739,0.010386056266725063
24,0.002163564564310107,0.009505695663392544
25,0.0020899416335395486,0.008961088955402374
26,0.001993159448957289,0.009579349309206009
27,0.0019066807544517582,0.009371030144393444
28,0.001820263539434221,0.009401190094649792
29,0.0016960031366660049,0.009112265892326832
30,0.0016723014144428177,0.009498611092567444
