epoch,train_mse_scaled,validation_mse_scaled
1,0.03865605997337613,0.01981203258037567
2,0.019310421931246918,0.016883624717593193
3,0.01258081413766451,0.018863650038838387
4,0.010082752494776978,0.016254916787147522
5,0.008656755995466456,0.01628890074789524
6,0.007592421585234088,0.013781902380287647
7,0.007096470680060969,0.013304557651281357
8,0.006397313845466478,0.012825670652091503
9,0.005934720101736403,0.012918585911393166
10,0.0055178408440844096,0.011509224772453308
11,0.005177124843462453,0.01255485787987709
12,0.004896752962314407,0.012337918393313885
13,0.0045315316889237445,0.011151493526995182
14,0.004294378384118308,0.011186126619577408
15,0.004006559411783476,0.011638487689197063
16,0.003846373050104639,0.011247404851019382
17,0.003601717562905678,0.010623501613736153
18,0.0033772133517041853,0.011582499369978905
19,0.0032482886191069612,0.010199585929512978
20,0.003087924213954336,0.01099935919046402
21,0.002841337272145962,0.010677768848836422
22,0.00273667917928104,0.011065359227359295
23,0.002630635183585104,0.010073642246425152
24,0.0025078939937528398,0.01010344922542572
25,0.0023562411061648497,0.010294746607542038
26,0.002283527280405876,0.00992407463490963
27,0.0021497538081811252,0.010366605594754219
28,0.002043797856241894,0.009915781207382679
29,0.002025333046699681,0.010005397722125053
30,0.002054233198830542,0.01071633119136095
