model,seed,MAE,RMSE,MAPE_pct
LSTM_weather,42,751.0069368522752,1065.2410946724433,1.1649131007872922
LSTM_weather,7,733.8664719936945,1010.1886852723272,1.137463884803069
LSTM_weather,123,815.4428872644183,1091.0488789473484,1.2870880900511374
LSTM_calendar,42,997.4794754308108,1343.8272365196974,1.5620975314267012
LSTM_calendar,7,819.9774708901488,1186.6503117499199,1.2613602782294893
LSTM_calendar,123,906.4116212761185,1244.3500973108205,1.4297577425004555
Transformer_weather,42,713.5563182881552,958.7352828250932,1.1173094235136989
Transformer_weather,7,848.328626413207,1140.3053808983382,1.3295245503125936
Transformer_weather,123,763.16721988548,1034.8431088008488,1.1749223111587583
