epoch,train_mse_scaled,validation_mse_scaled
1,0.034190315392158666,0.02120327390730381
2,0.021046515357190865,0.015972493216395378
3,0.015762420329701377,0.01565234176814556
4,0.01289807233444678,0.013531436212360859
5,0.011189792089325272,0.013344797305762768
6,0.010225634713923728,0.010797920636832714
7,0.00937537778627564,0.00969070103019476
8,0.008686941560448075,0.009074283763766289
9,0.008236568277188197,0.0093968091532588
10,0.007689520082367583,0.008945634588599205
11,0.00744779548194862,0.008611174300312996
12,0.0068913864834232895,0.010512306354939938
13,0.006709101274133841,0.008051000535488129
14,0.006396180825074982,0.007969661615788937
15,0.005910295323110731,0.0076468633487820625
16,0.005807070852914178,0.007466237526386976
17,0.005429572314780252,0.007164671551436186
18,0.005374904430898903,0.007278190925717354
19,0.005164828631610957,0.00726497545838356
20,0.004855369984647399,0.007259386125952005
21,0.0048510407688634105,0.006747100967913866
22,0.004815726720446814,0.007354096509516239
23,0.004640721412254809,0.006261180154979229
24,0.004441291088032211,0.006703444290906191
25,0.004305043849074321,0.006804800592362881
26,0.0040886895868319775,0.006901971064507961
27,0.004000292148333733,0.00656719459220767
28,0.00398889549696219,0.006333444267511368
29,0.003805340724840477,0.0071352822706103325
