model,MAE,RMSE,MAPE,actual_std,prediction_std,std_ratio,interval_coverage_95
ARIMA,646.4551392376345,904.8131429197327,1.0225569372908065,8325.812,8414.772186768494,1.010684923995765,88.50837138508372
LSTM,1431.0157470703125,1891.5496292722537,2.2260921001434326,8325.812,8077.3935546875,0.9701629281044006,90.33485540334856
Transformer,1733.655029296875,2251.3293850523073,2.692692518234253,8325.812,7929.662109375,0.952419102191925,88.20395738203958
